bird_id,periode,nb
Bachant Malakoff,Dependance alimentaire,756
Bachant Malakoff,Dispersion,272
Custodelle,Dependance alimentaire,723
Custodelle,Dispersion,545
Germignies A,Dependance alimentaire,852
Germignies A,Dispersion,49
Germignies B,Dependance alimentaire,883
Germignies B,Dispersion,516
Glageon Bocahut,Dependance alimentaire,532
Glageon Bocahut,Dispersion,5
Guemy,Dependance alimentaire,880
Guemy,Dispersion,674
Licques,Dependance alimentaire,717
Licques,Dispersion,229
Loos-en-Gohelle 74A,Dependance alimentaire,1714
Loos-en-Gohelle 74A,Dispersion,808
Loos-en-Gohelle 74B,Dependance alimentaire,1079
Loos-en-Gohelle 74B,Dispersion,491
Nabringhen,Dependance alimentaire,2213
Nabringhen,Dispersion,56
Quelmes,Dependance alimentaire,813
Quelmes,Dispersion,708
Wallers,Dependance alimentaire,833
Wallers,Dispersion,313
