bird_id;Identifiant de la ZST;Date de début de la ZST;Date de fin de la ZST;nb_jour en présence sur la ZST;area_DV (m^2)
Bachant Malakoff;Bachant Malakoff.1;16/09/2022;04/10/2022;13;7273458.47765488
Bachant Malakoff;Bachant Malakoff.12;17/10/2022;15/11/2022;29;10278648.4392311
Bachant Malakoff;Bachant Malakoff.2;22/09/2022;06/10/2022;9;3986391.98082048
Custodelle;Custodelle.26;26/09/2022;06/12/2022;17;3314590.91347952
Custodelle;Custodelle.29;27/09/2022;13/12/2022;51;9217523.13948948
Germignies B;Germignies B;09/10/2022;10/02/2023;113;80605533.6770863
Germignies B;Germignies B.21;28/09/2022;03/10/2022;6;11248253.8299344
Guemy;Guemy;17/01/2023;24/01/2023;8;5158135.21128795
Guemy;Guemy.23;31/10/2022;04/01/2023;7;7813635.38661026
Guemy;Guemy.24;03/11/2022;04/01/2023;62;17770318.514883
Guemy;Guemy.27;21/09/2022;08/01/2023;43;29581999.3694419
Licques;Licques.12;11/10/2022;16/10/2022;6;5281963.79797178
Licques;Licques.19;13/09/2022;04/10/2022;19;11002502.4325781
Licques;Licques.23;12/09/2022;10/10/2022;7;7099177.36937352
Loos-en-Gohelle 74A;Loos-en-Gohelle 74A.33;17/10/2022;25/01/2023;91;53862784.5519174
Loos-en-Gohelle 74A;Loos-en-Gohelle 74A.35;18/01/2023;10/02/2023;6;3141879.51236686
Loos-en-Gohelle 74B;Loos-en-Gohelle 74B.24;03/11/2022;12/02/2023;96;62416072.140017
Loos-en-Gohelle 74B;Loos-en-Gohelle 74B.27;29/10/2022;15/01/2023;6;13464395.3055348
Loos-en-Gohelle 74B;Loos-en-Gohelle 74B.30;19/10/2022;28/10/2022;10;14967704.3208373
Quelmes;Quelmes.26;29/09/2022;08/10/2022;9;18202606.6273776
Quelmes;Quelmes.46;21/09/2022;12/02/2023;103;47964816.5152691
Wallers;Wallers.1;02/09/2022;09/09/2022;8;26154443.2629552
Wallers;Wallers.8;18/09/2022;23/10/2022;36;37958624.4045126
